Ground truth,Visualization,Color image,Ratio of background pixels in majority vote,Ratio of background pixels in ground truth,Ratio of disagreeing pixels,Sum of disagreeing votes,Mean disagreeing votes,Mean divergent votes,Votes standard deviation,Disagreement with merged lane classes,Swapped lanes disagreement,Diff btw swapped and merged,Height of horizontal rectangle
data/bdd/bdd100k_dataset_321x185/val/labels/b3a6f586-3ea7e1ad.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a6f586-3ea7e1ad.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a6f586-3ea7e1ad.png,0.7780416860295003,0.77786957195229,0.04543811638353901,6158,2.3325757575757575,0.12449011204626427,0.34756200849000246,0.04457754599748714,0.24347257362179653,0.19889502762430938,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a72605-98b37492.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a72605-98b37492.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a72605-98b37492.png,0.9328066642570696,0.9323075334331595,0.015679592433865165,2142,2.3512623490669595,0.015094404571349892,0.12192851808328642,0.015679592433865165,0.07528269737181804,0.05960310493795288,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a76bd5-4e7a1ce2.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a76bd5-4e7a1ce2.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a76bd5-4e7a1ce2.png,0.9201218567666649,0.892566393005284,0.05507650470732001,7247,2.2646875,0.0634240374520232,0.26807179656826774,0.0448357171133027,0.1058329460766596,0.06099722896335691,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a7b21a-48bcf2b8.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a7b21a-48bcf2b8.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a7b21a-48bcf2b8.png,0.8342713550541299,0.8369219118431697,0.03215090962289806,4197,2.2467880085653107,0.028880742155900932,0.16747132557075345,0.03215090962289806,0.18047882136279927,0.14832791173990123,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a84a0f-0fb529e1.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a84a0f-0fb529e1.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a84a0f-0fb529e1.png,0.8621022013390475,0.8671967780244746,0.024164816440336655,2965,2.1118233618233617,0.030360923219910158,0.17157837148412639,0.024164816440336655,0.14743291853840726,0.1232681020980706,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a84a0f-61844c69.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a84a0f-61844c69.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a84a0f-61844c69.png,0.9428581263661555,0.9485551023218189,0.017056505051548165,2195,2.2149344096871846,0.02117003149687613,0.14395089879294745,0.017056505051548165,0.06282163818178689,0.04576513313023872,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a87019-ba714074.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a87019-ba714074.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a87019-ba714074.png,0.8964733825579594,0.8904666012633173,0.034371181218911896,4562,2.28442663995994,0.031668990206709005,0.17511729002584633,0.034371181218911896,0.12371559869881758,0.08934441747990568,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a9281a-74ae5b60.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a9281a-74ae5b60.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a9281a-74ae5b60.png,0.8443744513863789,0.8501746957883686,0.02903564482539027,3734,2.21339656194428,0.04144506979225831,0.19931727467074484,0.02903564482539027,0.16724324882532143,0.13820760399993115,0.049723756906077346
data/bdd/bdd100k_dataset_321x185/val/labels/b3a9281a-75473a1b.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a9281a-75473a1b.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a9281a-75473a1b.png,0.8459579008967143,0.8464914545360666,0.03681520111529922,5146,2.4057971014492754,0.03488752345054302,0.18349491589150593,0.03536944286673207,0.17001428546840847,0.1346448426016764,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a9281a-8b4f26f1.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a9281a-8b4f26f1.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a9281a-8b4f26f1.png,0.7436188705874254,0.7616564258790727,0.057933598389012235,7669,2.278371954842543,0.05459458529113096,0.23205925870724328,0.05184076005576496,0.2671898934613862,0.21534913340562126,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a9281a-e8ba5d66.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a9281a-e8ba5d66.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a9281a-e8ba5d66.png,0.8514827627751674,0.8707423280150084,0.036677509853530924,5347,2.5091506335053966,0.05789917557357016,0.2335526943571216,0.036677509853530924,0.1572262095316776,0.12054869967814667,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a94ee5-68ed7d65.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a94ee5-68ed7d65.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a94ee5-68ed7d65.png,0.7345140359029965,0.7993149859727027,0.09769195022460887,12317,2.170014094432699,0.09767473881688783,0.2994144086268927,0.09285554465499733,0.27467685582003754,0.1818213111650402,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3a969fe-5181b89f.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3a969fe-5181b89f.png,data/bdd/bdd100k_dataset_321x185/val/images/b3a969fe-5181b89f.png,0.7032753308893135,0.7042908039448547,0.04700435448615342,6616,2.4225558403515195,0.12688249771948848,0.33284129775608146,0.04700435448615342,0.31971910982599266,0.27271475533983924,0.04419889502762431
data/bdd/bdd100k_dataset_321x185/val/labels/b3aacff1-967c15c1.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3aacff1-967c15c1.png,data/bdd/bdd100k_dataset_321x185/val/images/b3aacff1-967c15c1.png,0.8113457599697079,0.8147019844753103,0.0519956627252543,6814,2.2555445216815624,0.05566169256983529,0.22949234626981063,0.049172991859004145,0.20873995284074284,0.1595669609817387,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3acb0a1-f459ea19.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3acb0a1-f459ea19.png,data/bdd/bdd100k_dataset_321x185/val/images/b3acb0a1-f459ea19.png,0.7578699161804444,0.7611400836474416,0.04116968726872171,5624,2.351170568561873,0.040446808144438136,0.19761534242932574,0.035593191167105555,0.25271509956799365,0.2171219084008881,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3ae380d-76bac333.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3ae380d-76bac333.png,data/bdd/bdd100k_dataset_321x185/val/images/b3ae380d-76bac333.png,0.8659747680762809,0.8860088466635686,0.026987487306586806,3890,2.4808673469387754,0.024440198963873255,0.1544113844199305,0.026987487306586806,0.13750193628336863,0.11051444897678182,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3ae7668-c78f47c8.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3ae7668-c78f47c8.png,data/bdd/bdd100k_dataset_321x185/val/images/b3ae7668-c78f47c8.png,0.7587132751587753,0.7864408529973667,0.13886163749333058,23156,2.8701041150223103,0.02922497031032168,0.17157499438842136,0.03894941567270787,0.1469854219376603,0.10803600626495241,0.022099447513812154
data/bdd/bdd100k_dataset_321x185/val/labels/b3b06694-627742e3.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3b06694-627742e3.png,data/bdd/bdd100k_dataset_321x185/val/images/b3b06694-627742e3.png,0.866886972685496,0.8808282129395363,0.020791380527013303,2802,2.3195364238410594,0.025662208912066917,0.15812545634976158,0.020791380527013303,0.13653809745099052,0.11574671692397721,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3b0f7f7-c97288ca.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3b0f7f7-c97288ca.png,data/bdd/bdd100k_dataset_321x185/val/images/b3b0f7f7-c97288ca.png,0.7881792051771914,0.8193662759677114,0.0667286277344624,9320,2.4039205571318027,0.06103165177879899,0.2407505405047927,0.05965473916111599,0.21898074043476015,0.15932600127364416,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3b2ffbe-cd80cda8.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3b2ffbe-cd80cda8.png,data/bdd/bdd100k_dataset_321x185/val/images/b3b2ffbe-cd80cda8.png,0.8128087296259962,0.8176623466033287,0.03287378874718163,4347,2.275916230366492,0.03397531884132803,0.18324382251711457,0.03122149360596203,0.198722913547099,0.167501419941137,0.0
data/bdd/bdd100k_dataset_321x185/val/labels/b3b44b49-3af119e3.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b3b44b49-3af119e3.png,data/bdd/bdd100k_dataset_321x185/val/images/b3b44b49-3af119e3.png,0.987590575033132,1.0,0.012409424966868041,1442,2.0,0.04406120376585601,0.20523112358645731,0.012409424966868041,0.012409424966868041,0.0,0.0
